Customer.ID,Customer.Name,Segment,Sales,Profit,Orders,Quantity,Profit_Margin
AB-101653,Alan Barnes,Consumer,668,207.07999999999998,5,24,0.31
AB-101654,Alan Barnes,Consumer,1114,220.813,8,48,0.19821633752244164
AB-102551,Alejandro Ballentine,Home Office,4277,-879.9366,7,68,-0.20573687163899929
AB-102552,Alejandro Ballentine,Home Office,949,262.755,6,25,0.27687565858798735
AB-102553,Alejandro Ballentine,Home Office,4644,309.376,9,48,0.06661843238587424
AB-102554,Alejandro Ballentine,Home Office,914,264.5675,9,39,0.28946115973741793
AB-1051,Adrian Barton,Consumer,97,10.41,2,3,0.10731958762886598
AB-1052,Adrian Barton,Consumer,64,25.02,1,4,0.3909375
AB-1053,Adrian Barton,Consumer,1996,-530.76,4,36,-0.2659118236472946
AB-106001,Ann Blume,Corporate,7148,1608.9561,9,57,0.22509178791270287
AB-106002,Ann Blume,Corporate,4276,-503.295,6,58,-0.11770229186155286
AB-106003,Ann Blume,Corporate,377,74.66,3,20,0.19803713527851458
AB-106004,Ann Blume,Corporate,1515,-274.9604,4,38,-0.18149201320132013
AB-1501,Aimee Bixby,Consumer,3145,862.1400000000001,4,28,0.27413036565977744
AB-151,Aaron Bergman,Consumer,2125,386.64,2,18,0.18194823529411763
AB-152,Aaron Bergman,Consumer,2481,577.0799999999999,3,15,0.2325997581620314
AB-1651,Alan Barnes,Consumer,160,35.22,1,2,0.220125
AB-1652,Alan Barnes,Consumer,411,78.0,1,8,0.1897810218978102
AB-1653,Alan Barnes,Consumer,828,-6.62399999999999,4,9,-0.007999999999999988
AB-2551,Alejandro Ballentine,Home Office,4083,787.2,5,20,0.19279941219691404
AB-2552,Alejandro Ballentine,Home Office,283,57.96,1,3,0.20480565371024737
AB-2553,Alejandro Ballentine,Home Office,313,-43.308,2,4,-0.13836421725239617
AB-6001,Ann Blume,Corporate,1384,253.56,3,55,0.18320809248554915
AB-6002,Ann Blume,Corporate,4027,711.0899999999999,2,10,0.17658058107772534
AB-601,Adam Bellavance,Home Office,1483,685.9979999999999,3,18,0.4625745111260957
AB-602,Adam Bellavance,Home Office,287,-220.07999999999998,6,12,-0.7668292682926828
AC-104201,Alyssa Crouse,Corporate,4086,709.7487,5,36,0.1737025697503671
AC-104202,Alyssa Crouse,Corporate,1033,214.278,7,32,0.207432720232333
AC-104203,Alyssa Crouse,Corporate,4561,-655.4119999999999,9,67,-0.14369918877439156
AC-104204,Alyssa Crouse,Corporate,926,-62.13420000000001,3,17,-0.06709956803455724
AC-104501,Amy Cox,Consumer,7610,2310.4524,5,35,0.30360741130091984
AC-104502,Amy Cox,Consumer,2295,614.19,4,26,0.26762091503267976
AC-104503,Amy Cox,Consumer,694,-185.048,3,18,-0.26663976945244955
AC-104504,Amy Cox,Consumer,5529,1366.0098,7,43,0.24706272381985894
AC-106151,Ann Chong,Corporate,5753,1253.5158,11,100,0.2178890665739614
AC-106152,Ann Chong,Corporate,2738,-394.92,5,44,-0.14423666910153396
AC-106153,Ann Chong,Corporate,1699,3.252679999999998,8,29,0.0019144673337257198
AC-106154,Ann Chong,Corporate,2538,298.8273,5,59,0.11774125295508274
AC-106601,Anna Chung,Consumer,1175,-38.54820000000001,4,26,-0.03280697872340426
AC-106602,Anna Chung,Consumer,2234,-87.876,6,36,-0.03933572068039391
AC-106603,Anna Chung,Consumer,2189,-843.8727200000001,6,58,-0.38550603928734584
AC-106604,Anna Chung,Consumer,658,-28.700399999999995,5,16,-0.0436176291793313
AC-4201,Alyssa Crouse,Corporate,841,150.159,6,17,0.17854815695600473
AC-4202,Alyssa Crouse,Corporate,849,87.39600000000002,3,11,0.10293992932862192
AC-4501,Amy Cox,Consumer,670,81.78,3,4,0.12205970149253731
AC-4502,Amy Cox,Consumer,147,34.32,2,6,0.23346938775510204
AC-4503,Amy Cox,Consumer,210,-241.29299999999998,2,11,-1.1490142857142855
AC-6151,Ann Chong,Corporate,1706,-438.85799999999995,3,14,-0.2572438452520516
AC-6152,Ann Chong,Corporate,593,158.31,4,18,0.266964586846543
AC-6601,Anna Chung,Consumer,2666,726.12,3,15,0.27236309077269316
AC-6602,Anna Chung,Consumer,10,0.75,1,1,0.075
AD-101801,Alan Dominguez,Home Office,9209,-25.87769999999992,8,66,-0.002810044521663581
AD-101802,Alan Dominguez,Home Office,1001,119.8785,5,20,0.11975874125874127
AD-101803,Alan Dominguez,Home Office,1541,86.82400000000001,6,27,0.05634263465282285
AD-101804,Alan Dominguez,Home Office,6106,1869.9294000000002,8,40,0.3062445791025221
AD-1801,Alan Dominguez,Home Office,12,3.45,1,1,0.28750000000000003
AD-1802,Alan Dominguez,Home Office,669,-514.212,2,13,-0.768627802690583
AF-108701,Art Ferguson,Consumer,10793,-411.62550000000005,14,137,-0.03813819142036506
AF-108702,Art Ferguson,Consumer,7808,-172.30199999999996,6,39,-0.022067366803278685
AF-108703,Art Ferguson,Consumer,5832,2002.028,9,65,0.3432832647462277
AF-108704,Art Ferguson,Consumer,2052,317.9712,7,51,0.15495672514619885
AF-108851,Art Foster,Consumer,8347,1099.395,10,81,0.13171139331496345
AF-108852,Art Foster,Consumer,5880,921.48,13,98,0.15671428571428572
AF-108853,Art Foster,Consumer,4621,1025.1572800000001,8,58,0.22184749621294095
AF-108854,Art Foster,Consumer,862,-163.1175,4,37,-0.1892314385150812
AF-8701,Art Ferguson,Consumer,672,201.33,4,21,0.2995982142857143
AF-8702,Art Ferguson,Consumer,125,43.8,1,3,0.3504
AF-8703,Art Ferguson,Consumer,901,297.102,4,10,0.32974694783573805
AF-8851,Art Foster,Consumer,139,32.46,1,2,0.23352517985611512
AF-8852,Art Foster,Consumer,215,55.86,1,7,0.2598139534883721
AG-102701,Alejandro Grove,Consumer,4771,891.3987,7,79,0.18683686858101026
AG-102702,Alejandro Grove,Consumer,1663,249.21,4,30,0.1498556825015033
AG-102703,Alejandro Grove,Consumer,1622,278.64752,9,41,0.17179255240443894
AG-102704,Alejandro Grove,Consumer,2584,732.7399,5,58,0.28356807275541795
AG-103001,Aleksandra Gannaway,Corporate,3212,385.78020000000004,5,31,0.12010591531755917
AG-103002,Aleksandra Gannaway,Corporate,6071,1280.598,7,46,0.2109369131938725
AG-103003,Aleksandra Gannaway,Corporate,3364,120.09999999999998,8,66,0.03570154577883471
AG-103004,Aleksandra Gannaway,Corporate,367,59.288399999999996,4,16,0.16154877384196184
AG-103301,Alex Grayson,Consumer,4208,259.6632,5,42,0.06170703422053232
AG-103302,Alex Grayson,Consumer,3590,661.5405000000001,9,54,0.1842731197771588
AG-103303,Alex Grayson,Consumer,6078,13.400479999999902,10,78,0.002204751563014133
AG-103304,Alex Grayson,Consumer,662,-5.137099999999997,5,47,-0.007759969788519633
AG-103901,Allen Goldenen,Consumer,2228,377.229,2,27,0.1693128366247756
AG-103902,Allen Goldenen,Consumer,2646,28.842000000000006,4,33,0.010900226757369617
AG-103903,Allen Goldenen,Consumer,3380,520.3936,8,69,0.15396260355029587
AG-103904,Allen Goldenen,Consumer,201,69.2784,5,33,0.34466865671641794
AG-104951,Andrew Gjertsen,Corporate,3451,463.533,6,44,0.1343184584178499
AG-104952,Andrew Gjertsen,Corporate,7461,1669.5525,11,109,0.22377060715721753
AG-104953,Andrew Gjertsen,Corporate,2110,320.30956,4,18,0.15180547867298577
AG-104954,Andrew Gjertsen,Corporate,2356,295.6668,8,93,0.12549524617996605
AG-105251,Andy Gerbode,Corporate,324,13.259999999999998,3,9,0.04092592592592592
AG-105252,Andy Gerbode,Corporate,4071,151.71900000000002,8,44,0.03726823876197495
AG-105253,Andy Gerbode,Corporate,2620,23.816000000000006,5,22,0.009090076335877864
AG-105254,Andy Gerbode,Corporate,1455,-152.7613,4,33,-0.10499058419243987
AG-106751,Anna Gayman,Consumer,3644,360.429,3,57,0.09891026344676179
AG-106752,Anna Gayman,Consumer,2284,206.21099999999996,7,39,0.09028502626970225
AG-106753,Anna Gayman,Consumer,3606,360.5763999999999,4,50,0.09999345535219077
AG-106754,Anna Gayman,Consumer,3489,-246.42569999999998,7,54,-0.07062932072226999
AG-107651,Anthony Garverick,Home Office,1586,93.21150000000002,4,12,0.05877143757881464
AG-107652,Anthony Garverick,Home Office,2159,110.80199999999998,6,52,0.05132098193608151
AG-107653,Anthony Garverick,Home Office,5913,1055.002,13,117,0.17842076779976324
AG-107654,Anthony Garverick,Home Office,170,-8.430999999999997,4,20,-0.04959411764705881
AG-109001,Arthur Gainer,Consumer,5035,359.2755,8,65,0.07135561072492552
AG-109002,Arthur Gainer,Consumer,3108,551.1795,8,49,0.17734218146718145
AG-109003,Arthur Gainer,Consumer,5519,625.62976,3,41,0.11335926073564052
AG-109004,Arthur Gainer,Consumer,4511,343.68240000000003,10,92,0.07618763023719796
AG-2701,Alejandro Grove,Consumer,1997,232.10999999999999,5,26,0.11622934401602403
AG-2702,Alejandro Grove,Consumer,296,55.44,1,16,0.1872972972972973
AG-2703,Alejandro Grove,Consumer,486,163.026,2,5,0.3354444444444445
AG-3001,Aleksandra Gannaway,Corporate,866,-802.452,2,23,-0.9266189376443418
AG-3002,Aleksandra Gannaway,Corporate,835,-270.168,4,24,-0.3235544910179641
AG-3301,Alex Grayson,Consumer,513,74.20499999999998,6,27,0.1446491228070175
AG-3302,Alex Grayson,Consumer,20,3.3,1,2,0.16499999999999998
AG-3901,Allen Goldenen,Consumer,414,-504.774,2,9,-1.2192608695652174
AG-3902,Allen Goldenen,Consumer,59,-43.704,2,7,-0.7407457627118644
AG-4951,Andrew Gjertsen,Corporate,469,48.66,3,19,0.10375266524520255
AG-4952,Andrew Gjertsen,Corporate,52,9.149999999999999,2,2,0.17596153846153845
AG-4953,Andrew Gjertsen,Corporate,482,-164.658,6,17,-0.3416141078838174
AG-5251,Andy Gerbode,Corporate,802,-211.644,6,15,-0.26389526184538653
AG-5252,Andy Gerbode,Corporate,2067,345.0,1,16,0.16690856313497823
AG-6751,Anna Gayman,Consumer,774,-318.02099999999996,6,36,-0.41087984496124025
AG-6752,Anna Gayman,Consumer,1595,560.2919999999999,4,13,0.351280250783699
AG-7651,Anthony Garverick,Home Office,769,-891.0600000000001,4,15,-1.1587256176853056
AG-7652,Anthony Garverick,Home Office,1090,-184.21799999999996,4,11,-0.16900733944954124
AG-9001,Arthur Gainer,Consumer,1698,-146.52,4,37,-0.08628975265017669
AH-100301,Aaron Hawkins,Corporate,4154,911.4,6,39,0.21940298507462686
AH-100302,Aaron Hawkins,Corporate,3973,981.594,8,42,0.24706619682859302
AH-100303,Aaron Hawkins,Corporate,4568,343.22384,6,56,0.07513656742556918
AH-100304,Aaron Hawkins,Corporate,1744,365.2152,7,54,0.2094123853211009
AH-100751,Adam Hart,Corporate,7291,-928.8675,9,73,-0.1273991907831573
AH-100752,Adam Hart,Corporate,4526,528.414,9,72,0.1167507733097658
AH-100753,Adam Hart,Corporate,3044,1105.30792,6,27,0.36311035479632064
AH-100754,Adam Hart,Corporate,3251,281.189,10,75,0.0864930790525992
AH-101201,Adrian Hane,Home Office,558,28.512,3,17,0.05109677419354839
AH-101202,Adrian Hane,Home Office,3590,905.511,6,55,0.25223147632311976
AH-101203,Adrian Hane,Home Office,4044,773.4288799999999,6,57,0.19125343224530167
AH-101204,Adrian Hane,Home Office,1736,-2.314599999999987,7,65,-0.0013332949308755685
AH-101951,Alan Haines,Corporate,3839,-308.2815,6,47,-0.08030255274811149
AH-101952,Alan Haines,Corporate,1833,391.05,9,70,0.21333878887070376
AH-101953,Alan Haines,Corporate,5370,454.69128,6,59,0.08467249162011173
AH-101954,Alan Haines,Corporate,1588,-378.55090000000007,4,28,-0.23838217884130986
AH-102101,Alan Hwang,Consumer,1111,271.97999999999996,2,10,0.24480648064806476
AH-102102,Alan Hwang,Consumer,7417,1478.2785000000001,11,96,0.19930949170823783
AH-102103,Alan Hwang,Consumer,7031,1080.8476799999999,12,106,0.15372602474754657
AH-102104,Alan Hwang,Consumer,4805,1308.5546,9,53,0.2723318626430801
AH-104651,Amy Hunt,Consumer,2183,314.8908,6,37,0.14424681630783326
AH-104652,Amy Hunt,Consumer,251,59.748,2,8,0.23803984063745018
AH-104653,Amy Hunt,Consumer,3621,433.37028,7,54,0.11968248550124275
AH-104654,Amy Hunt,Consumer,2495,-196.12009999999998,5,35,-0.07860525050100199
AH-105851,Angele Hood,Consumer,6205,1046.5821,9,75,0.16866754230459308
AH-105852,Angele Hood,Consumer,1615,437.32500000000005,5,27,0.2707894736842106
AH-105853,Angele Hood,Consumer,567,-109.52000000000001,4,18,-0.19315696649029984
AH-105854,Angele Hood,Consumer,738,83.963,4,17,0.11377100271002709
AH-106901,Anna Häberlin,Corporate,4163,552.99,6,54,0.13283449435503242
AH-106902,Anna Häberlin,Corporate,3514,790.0079999999999,9,77,0.22481730221969265
AH-106903,Anna Häberlin,Corporate,710,154.82912,4,14,0.21806918309859152
AH-106904,Anna Häberlin,Corporate,7889,1298.0166,12,102,0.16453499809861832
AH-1201,Adrian Hane,Home Office,1476,379.62,3,12,0.2571951219512195
AH-1202,Adrian Hane,Home Office,2,-3.378,1,1,-1.689
AH-1951,Alan Haines,Corporate,80,-99.291,2,9,-1.2411375
AH-1952,Alan Haines,Corporate,88,29.7,1,6,0.33749999999999997
AH-1953,Alan Haines,Corporate,2483,-681.564,6,39,-0.2744921465968586
AH-2101,Alan Hwang,Consumer,3090,423.6,2,24,0.13708737864077672
AH-2102,Alan Hwang,Consumer,187,-220.89000000000001,2,3,-1.1812299465240643
AH-301,Aaron Hawkins,Corporate,5072,-576.624,4,28,-0.11368769716088328
AH-302,Aaron Hawkins,Corporate,1248,426.12,3,12,0.3414423076923077
AH-4651,Amy Hunt,Consumer,540,129.84,2,6,0.24044444444444446
AH-4652,Amy Hunt,Consumer,112,-23.394000000000002,2,3,-0.208875
AH-5851,Angele Hood,Consumer,889,416.67,2,5,0.46869516310461196
AH-5852,Angele Hood,Consumer,1343,-264.948,7,28,-0.1972807148175726
AH-6901,Anna Häberlin,Corporate,948,-492.6120000000001,3,24,-0.5196329113924052
AH-6902,Anna Häberlin,Corporate,869,162.78,2,9,0.18731875719217492
AH-751,Adam Hart,Corporate,3426,842.31,6,42,0.24585814360770578
AH-752,Adam Hart,Corporate,137,54.9,1,1,0.40072992700729926
AH-753,Adam Hart,Corporate,45,18.78,1,3,0.41733333333333333
AI-108551,Arianne Irving,Consumer,1859,266.59229999999997,4,28,0.14340629370629368
AI-108552,Arianne Irving,Consumer,2105,473.18399999999997,7,56,0.22479049881235152
AI-108553,Arianne Irving,Consumer,20,5.26,1,5,0.263
AI-108554,Arianne Irving,Consumer,4376,867.7271000000001,10,72,0.19829229890310787
AI-8551,Arianne Irving,Consumer,30,4.83,1,1,0.161
AI-8552,Arianne Irving,Consumer,891,-79.41599999999998,3,14,-0.08913131313131312
AJ-107801,Anthony Jacobs,Corporate,5821,988.0137,5,19,0.16973264043978697
AJ-107802,Anthony Jacobs,Corporate,3898,576.2475000000001,7,56,0.14783158029758853
AJ-107803,Anthony Jacobs,Corporate,601,69.272,6,55,0.11526123128119801
AJ-107804,Anthony Jacobs,Corporate,4868,150.71300000000002,7,62,0.030959942481511918
AJ-107951,Anthony Johnson,Corporate,1209,209.388,6,29,0.17319106699751863
AJ-107952,Anthony Johnson,Corporate,2249,384.966,6,37,0.17117207647843485
AJ-107953,Anthony Johnson,Corporate,930,108.032,3,43,0.11616344086021504
AJ-107954,Anthony Johnson,Corporate,4501,1158.7064,7,88,0.25743310375472117
AJ-109451,Ashley Jarboe,Consumer,2329,395.511,9,45,0.16982009446114213
AJ-109452,Ashley Jarboe,Consumer,3402,945.831,7,31,0.2780220458553792
AJ-109453,Ashley Jarboe,Consumer,3517,-294.83799999999997,6,33,-0.0838322433892522
AJ-109454,Ashley Jarboe,Consumer,1839,521.1351999999999,7,40,0.2833796628602501
AJ-109601,Astrea Jones,Consumer,1709,135.9051,4,16,0.07952317144528964
AJ-109602,Astrea Jones,Consumer,4502,914.0745,6,64,0.20303742780986228
AJ-109603,Astrea Jones,Consumer,1792,408.26588,4,45,0.2278269419642857
AJ-109604,Astrea Jones,Consumer,629,60.4265,3,22,0.09606756756756757
AJ-7801,Anthony Jacobs,Corporate,1608,-811.596,7,30,-0.5047238805970149
AJ-7802,Anthony Jacobs,Corporate,19,6.81,1,1,0.3584210526315789
AJ-7803,Anthony Jacobs,Corporate,942,192.78000000000003,4,9,0.20464968152866245
AJ-7951,Anthony Johnson,Corporate,1276,160.32,5,28,0.12564263322884012
AJ-7952,Anthony Johnson,Corporate,2119,457.16999999999996,5,34,0.21574799433695138
AJ-9451,Ashley Jarboe,Consumer,3817,1272.9840000000002,5,38,0.33350379879486514
AJ-9452,Ashley Jarboe,Consumer,1045,166.08,2,8,0.15892822966507178
AJ-9601,Astrea Jones,Consumer,4071,1417.218,6,33,0.34812527634487844
AJ-9602,Astrea Jones,Consumer,556,-404.53200000000004,4,26,-0.7275755395683454
AM-103601,Alice McCarthy,Corporate,3217,291.9576,8,62,0.09075461610195835
AM-103602,Alice McCarthy,Corporate,8940,2375.502,11,75,0.2657161073825503
AM-103603,Alice McCarthy,Corporate,3759,-113.97200000000001,9,80,-0.030319765895184893
AM-103604,Alice McCarthy,Corporate,813,194.9878,5,48,0.23983739237392374
AM-107051,Anne McFarland,Consumer,11719,-250.2885,10,94,-0.021357496373410702
AM-107052,Anne McFarland,Consumer,6094,1797.7530000000002,7,76,0.29500377420413526
AM-107053,Anne McFarland,Consumer,742,95.44800000000001,5,33,0.12863611859838275
AM-107054,Anne McFarland,Consumer,5665,1085.7326,8,81,0.19165624007060902
AM-3601,Alice McCarthy,Corporate,435,-94.68299999999999,4,12,-0.21766206896551724
AM-3602,Alice McCarthy,Corporate,1601,324.06,2,7,0.2024109931292942
AM-7051,Anne McFarland,Consumer,867,297.96000000000004,4,16,0.3436678200692042
AM-7052,Anne McFarland,Consumer,24,9.72,1,1,0.405
AM-7053,Anne McFarland,Consumer,411,202.26,1,2,0.49211678832116784
AO-108101,Anthony O'Donnell,Corporate,7085,-88.94939999999997,12,84,-0.01255460832745236
AO-108102,Anthony O'Donnell,Corporate,5657,786.6060000000001,10,99,0.13905002651582113
AO-108103,Anthony O'Donnell,Corporate,1636,318.64,4,31,0.1947677261613692
AO-108104,Anthony O'Donnell,Corporate,161,12.096,1,2,0.0751304347826087
AO-8101,Anthony O'Donnell,Corporate,24,-32.463,1,5,-1.352625
AO-8102,Anthony O'Donnell,Corporate,386,90.21,1,3,0.23370466321243522
AO-8103,Anthony O'Donnell,Corporate,76,6.96,3,4,0.09157894736842105
AP-107201,Anne Pryor,Home Office,9040,1631.8227,7,93,0.180511360619469
AP-107202,Anne Pryor,Home Office,1763,324.59999999999997,2,9,0.18411798071469085
AP-107203,Anne Pryor,Home Office,2919,695.2546000000001,3,28,0.23818245974648855
AP-107204,Anne Pryor,Home Office,1639,285.7888,8,85,0.17436778523489932
AP-109151,Arthur Prichep,Consumer,9049,1413.6258,9,86,0.15621900762515195
AP-109152,Arthur Prichep,Consumer,1435,-0.9555000000000007,6,25,-0.0006658536585365858
AP-109153,Arthur Prichep,Consumer,2070,428.12399999999997,7,36,0.20682318840579708
AP-109154,Arthur Prichep,Consumer,3324,579.3113,10,102,0.1742813778580024
AP-7201,Anne Pryor,Home Office,423,119.679,4,17,0.2829290780141844
AP-7202,Anne Pryor,Home Office,576,-64.38,2,12,-0.11177083333333332
AP-9151,Arthur Prichep,Consumer,2151,685.05,3,26,0.3184797768479777
AP-9152,Arthur Prichep,Consumer,517,32.459999999999994,2,9,0.06278529980657639
AR-103451,Alex Russell,Corporate,4462,1030.9062,9,72,0.2310412819363514
AR-103452,Alex Russell,Corporate,7043,771.624,9,61,0.10955899474655686
AR-103453,Alex Russell,Corporate,1607,102.45199999999997,4,21,0.06375357809583072
AR-103454,Alex Russell,Corporate,1056,-221.0544,4,18,-0.20933181818181817
AR-104051,Allen Rosenblatt,Corporate,2010,-425.5311,6,37,-0.21170701492537314
AR-104052,Allen Rosenblatt,Corporate,3532,-231.957,7,57,-0.06567298980747452
AR-104053,Allen Rosenblatt,Corporate,1182,172.77088,4,37,0.14616825719120136
AR-104054,Allen Rosenblatt,Corporate,2235,-98.76459999999999,5,29,-0.044189977628635344
AR-105101,Andrew Roberts,Consumer,6269,2109.057,11,66,0.33642638379326845
AR-105102,Andrew Roberts,Consumer,6533,1173.99,7,66,0.17970151538343793
AR-105103,Andrew Roberts,Consumer,1210,192.24436,6,31,0.15887963636363636
AR-105104,Andrew Roberts,Consumer,264,43.6695,5,33,0.16541477272727273
AR-105401,Andy Reiter,Consumer,1154,145.0515,4,20,0.12569454072790295
AR-105402,Andy Reiter,Consumer,64,1.4969999999999999,2,2,0.023390624999999998
AR-105403,Andy Reiter,Consumer,157,19.744000000000003,3,13,0.1257579617834395
AR-105404,Andy Reiter,Consumer,6609,2884.6208,6,33,0.4364685731578151
AR-105701,Anemone Ratner,Consumer,4880,929.7642,7,53,0.19052545081967212
AR-105702,Anemone Ratner,Consumer,1898,262.17600000000004,4,14,0.1381327713382508
AR-105703,Anemone Ratner,Consumer,2581,360.25912,6,50,0.13958121658271988
AR-105704,Anemone Ratner,Consumer,88,32.633,1,6,0.3708295454545455
AR-108251,Anthony Rawles,Corporate,633,223.8756,4,20,0.35367393364928906
AR-108252,Anthony Rawles,Corporate,7720,1978.1699999999998,15,95,0.2562396373056995
AR-108253,Anthony Rawles,Corporate,2435,131.224,11,59,0.05389075975359343
AR-108254,Anthony Rawles,Corporate,4523,494.8352,8,54,0.10940420075171346
AR-3451,Alex Russell,Corporate,1243,230.64000000000001,3,21,0.18555108608205956
AR-3452,Alex Russell,Corporate,1058,376.092,6,16,0.35547448015122873
AR-4051,Allen Rosenblatt,Corporate,144,25.86,2,2,0.17958333333333332
AR-4052,Allen Rosenblatt,Corporate,426,5.340000000000007,4,6,0.01253521126760565
AR-5101,Andrew Roberts,Consumer,371,148.89,2,5,0.4013207547169811
AR-5102,Andrew Roberts,Consumer,2267,-106.09200000000003,8,34,-0.04679841199823557
AR-5401,Andy Reiter,Consumer,325,108.66,4,13,0.33433846153846153
AR-5402,Andy Reiter,Consumer,236,-20.49,4,8,-0.08682203389830508
AR-5701,Anemone Ratner,Consumer,970,242.82000000000002,3,27,0.2503298969072165
AR-5702,Anemone Ratner,Consumer,1075,166.998,6,28,0.15534697674418604
AR-8251,Anthony Rawles,Corporate,1704,318.51599999999996,3,11,0.1869225352112676
AR-8252,Anthony Rawles,Corporate,324,-28.973999999999997,4,9,-0.08942592592592591
AS-100451,Aaron Smayling,Corporate,2056,257.62739999999997,5,21,0.12530515564202332
AS-100452,Aaron Smayling,Corporate,6708,421.929,13,95,0.06289937388193202
AS-100453,Aaron Smayling,Corporate,779,234.936,3,26,0.301586649550706
AS-100454,Aaron Smayling,Corporate,3051,-253.57459999999998,7,48,-0.08311196329072434
AS-100901,Adam Shillingsburg,Consumer,1502,208.878,5,26,0.13906657789613847
AS-100902,Adam Shillingsburg,Consumer,4140,330.16200000000003,8,61,0.07974927536231885
AS-100903,Adam Shillingsburg,Consumer,6112,741.3827200000001,10,60,0.12129952879581153
AS-100904,Adam Shillingsburg,Consumer,3255,64.53739999999995,9,81,0.019827158218125945
AS-101351,Adrian Shami,Home Office,4430,515.8152,11,86,0.11643683972911964
AS-101352,Adrian Shami,Home Office,2474,340.821,3,16,0.13776111560226356
AS-101353,Adrian Shami,Home Office,346,-128.192,3,8,-0.3704971098265896
AS-101354,Adrian Shami,Home Office,58,21.849600000000002,2,9,0.3767172413793104
AS-102251,Alan Schoenberger,Corporate,9773,1572.6507,10,74,0.16091790647702853
AS-102252,Alan Schoenberger,Corporate,6300,402.354,6,44,0.06386571428571429
AS-102253,Alan Schoenberger,Corporate,1031,23.880000000000003,7,54,0.023161978661493696
AS-102254,Alan Schoenberger,Corporate,4262,719.7751000000001,5,41,0.16888200375410606
AS-102401,Alan Shonely,Consumer,2374,341.4552,7,49,0.14383117101937656
AS-102402,Alan Shonely,Consumer,3688,-49.37700000000001,9,85,-0.013388557483731023
